scenario_id,seed,num_requests,offered_load,burstiness,long_fraction,prompt_median,output_median,tenant_weight_skew,class_share_skew,slo_tightness,prediction_noise_sigma,kv_pressure_target,late_pressure,late_fraction,late_phase,max_active_sequences,step_token_budget,max_kv_tokens,fairness_pressure,service_heterogeneity,prefill_decode_pressure,kv_pressure,urgency_pressure,burst_pressure,high_fairness_pressure,high_service_heterogeneity,high_prefill_decode_pressure,high_kv_pressure,high_urgency_pressure,high_burst_pressure,n_elevated_mechanisms
joint_mm_0000,20260824,42,0.9326998770944237,0.5618183596422067,0.47619047619047616,158.5,90.5,2.6119310660909387,0.6757677698689425,0.885264229801662,0.4033544599355172,0.3845739265722108,0.6654404747995027,0.3333333333333333,0.6808754886759716,32,256,23789,0.527716,0.975834,0.530599,0.512775,1.0,0.715182,False,True,False,False,True,True,3
joint_mm_0001,20260825,61,1.0089490112969566,0.5400864700814209,0.2459016393442623,199.0,71.0,1.127684514177848,0.43249112505877135,1.050814006909081,0.21079350998982613,0.6646642164155219,0.1026773671713308,0.13114754098360656,0.4248835654973222,16,512,13540,0.032183,0.682245,0.257561,0.886263,1.0,0.701056,False,True,False,True,True,True,4
joint_mm_0002,20260826,66,0.8448082610985476,0.7175207742669082,0.8484848484848485,592.0,131.0,2.0791623609381644,0.5272186214309937,2.20020524135134,0.3896310209724303,0.41681126267773083,0.34150806866358485,0.21212121212121213,0.5491283439361454,4,512,26459,0.282054,0.612698,0.436614,0.260025,0.512317,0.466389,False,True,False,False,False,False,1
joint_mm_0003,20260827,56,1.1105989050202663,0.33615802601581046,0.44642857142857145,1967.5,319.0,3.276183524516614,0.5193409656615129,1.7965538315497875,0.233841578613905,0.6188341667492167,0.06486440327250942,0.125,0.4961085423287187,8,512,40119,0.59953,0.456274,0.5375,0.81677,0.624083,0.218503,False,False,False,True,True,False,2
joint_mm_0004,20260828,42,0.9977503258174211,0.6096527688342798,0.8333333333333334,3191.5,512.0,3.962428830297228,0.3094308476093442,0.699215971062282,0.1882965317015886,0.8477100824032704,0.8546751824826657,0.40476190476190477,0.13038299464950528,4,256,28136,0.899309,0.244211,0.957143,0.582314,1.0,0.396274,True,False,True,False,True,False,3
joint_mm_0005,20260829,64,0.7667796272985261,0.34183121565212005,0.734375,1342.5,329.0,1.880982773115825,0.5549219972773324,1.1798151486033777,0.3229498405376818,0.9719921396199206,0.7222505098868542,0.359375,0.4910461609953004,16,256,47304,0.237452,0.495032,0.831653,1.0,1.0,0.22219,False,False,True,True,True,False,3
joint_mm_0006,20260830,51,1.168682862069155,0.005799597866428363,0.7843137254901961,416.0,254.0,1.9461899223164856,0.3880361062778019,1.4867800136228744,0.16690669589346752,0.775144016382608,0.297156226384377,0.19607843137254902,0.6971680455670053,4,1024,7138,0.271334,0.530396,0.373543,0.57327,0.746156,0.00377,False,False,False,False,True,False,1
joint_mm_0007,20260831,66,1.2822772186120668,0.9473918413508539,0.5,351.5,310.5,1.2174440509872115,0.3567920651959206,1.5645960379381247,0.4287365279299658,1.050138806642495,0.6906390289834964,0.3484848484848485,0.20223973989639277,4,512,7822,0.060127,0.474685,0.633534,0.69752,0.772827,0.615805,False,False,True,True,True,True,4
joint_mm_0008,20260832,60,1.0519814430296672,0.9754914168508149,0.43333333333333335,1069.5,360.0,1.1791488872835252,0.6598649472642348,1.856165214151825,0.06592057154239701,0.7611360821548051,0.23952860393744668,0.18333333333333332,0.5619841589655015,8,512,29929,0.052998,0.47812,0.550928,1.0,0.625968,0.634069,False,False,False,True,True,True,3
joint_mm_0009,20260833,46,0.8142914491105345,0.9977634429126997,0.43478260869565216,348.5,51.5,3.370428278108292,0.49678592698558877,1.18182443549526,0.43059719475688735,0.4752902593636118,0.30706897733867433,0.21739130434782608,0.10785117005624936,16,512,30499,0.631255,0.829518,0.422089,0.633726,1.0,0.998546,True,True,False,True,True,True,5
