active_binding,active_pressure,axis,condition_id,decision_step,decision_time,fresh_window_id,kv_binding,kv_pressure,latency_outcomes_used_for_regime_selection,live_state_fingerprint,n_unique_non_sbs_actions,p6_policies_with_non_sbs_action,queue_pressure,regime_roles,sbs_canonical_action_hash,source_record_id_end,source_record_id_start,state_id,unique_non_sbs_canonical_action_hashes,window_index,workload
0,0.75,active_sequence_capacity,active_4,86,0.08600000000000001,azure_2023_code::w1,0,0.000163875,False,d62f9c42ddec9eae257697a2d50c60f5251a675327d51decb6a6f953e3896d82,1,least_laxity_first,2,strongest-valid,44609ef563ad2b49b6291898bbdf5c08aa55c01de2bffff229a02d05b1b552ae,399,200,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w1::faithful::active_4::step86,"[""004bba82bba71352a14a4031f2dbce55bf28e3eca1b7358ba5192793500eb4e8""]",1,azure_2023_code
0,0.75,active_sequence_capacity,active_4,23412,23.412,azure_2023_code::w1,0,0.000549875,False,e2d76b875f54a0abeebe7428ed92bdbd16abe280ef430825dc4368d7cd6a5369,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,38b02bc7b98dd11c87ed3b08507d9c726a24a84d763dcc97468e8c4224bf22f5,399,200,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w1::faithful::active_4::step23412,"[""3a4e8f2140abd2bfb2fcc2e6a026783c6208e33b44562fa35f83242c8f3da43c""]",1,azure_2023_code
0,0.75,active_sequence_capacity,active_4,25515,25.515,azure_2023_code::w1,0,0.00032,False,20471ae1c99120cca77e92db01805aaec8db13a4874ca2ee86248445f711b018,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,a0704cedd8bbde973b304aa8a3c545a1a23f677f5a31f49fd1a5b3a2bd1e1e5a,399,200,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w1::faithful::active_4::step25515,"[""1f536539229e95a7f86894f888fb03fb2fde7d55b9a8ffc7e71faccc65af0f87""]",1,azure_2023_code
0,0.75,active_sequence_capacity,active_4,36761,36.761,azure_2023_code::w5,0,0.00032,False,f7d5b89efdda5e59cfe8a755428e1642ac920ba4e192a8b9aefa43a4ae46530c,1,"chunked_prefill_small,full_prefill,least_laxity_first",3,strongest-valid,a7d1aaaee10247633d3032284795af397f60b47d97fc24fe1571a212c03223c8,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step36761,"[""cf70d3fe3b94d09161c1adf85477b56a5a5b4dbc25e89afe6ce4419f8f44a459""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,36790,36.79,azure_2023_code::w5,0,0.000661375,False,fc8eeb353790b8daf9be23ff8ea34e593a847d5797d588ec996f534ea041165d,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,2f02fae541008141cab7a20815285ad4e40f3fbb310f74e7102c4e5b00ec060c,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step36790,"[""cf70d3fe3b94d09161c1adf85477b56a5a5b4dbc25e89afe6ce4419f8f44a459""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,48176,48.176,azure_2023_code::w5,0,0.0003615,False,9d78ab843c6f8912cb68e8674769d4d7fd74a1e1acbb69bf5603423362719523,1,least_laxity_first,3,strongest-valid,cd48f431f8101eda5e30037626180f7eb360d5343e995e93dccc28e309563506,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step48176,"[""08b85d78df8e45bd7ad51a371bdb73326b534644bacd46a9f49b3db5e59a11ed""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,48179,48.179,azure_2023_code::w5,0,0.000535625,False,9039fc61fc23c8e589fcc9eb56500a54f99bee0a6945984cda32ff5c0e7f64e0,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,a92c84cf63501f94bf32ea8755d4360543f8e8e0d0c7bf5f6500a3d20517e971,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step48179,"[""08b85d78df8e45bd7ad51a371bdb73326b534644bacd46a9f49b3db5e59a11ed""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,50460,50.46,azure_2023_code::w5,0,0.000195375,False,4b056e783f8124377afaff90337e9dfc194acb1741f7207ffdae48f0c1813298,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,4055b26e0a948de6a85861c1124e877a9d90c9135cf2e6d6eefa6be9cb6ce5be,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step50460,"[""34e0a02116010cd65266c4b5ee9f61c92db2ca85aa08ec530ca1c31ea391c9d7""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,50472,50.472,azure_2023_code::w5,0,0.0004965,False,c4e8ca225e759b162f6b82d6de491ba0e3ae08f08f730146bd3f7d3905de08b4,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,a23292bf00922727b68e352dcd734826189f92076b5f0b457c63740987b8cfa5,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step50472,"[""34e0a02116010cd65266c4b5ee9f61c92db2ca85aa08ec530ca1c31ea391c9d7""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,50505,50.505,azure_2023_code::w5,0,0.00109875,False,746f160f9cbe4040045f9008ef42b8af0f94b1a51e6e30f52635ab617d9647cb,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,08415db9d9cece7df123c71806975f4dbe724bedb2f5000f8d2ac80457ac009f,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step50505,"[""f59cddf74bf1736d50937b6e94420871a097970dbe6d91b58fdf4dbf4f1dd4f6""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,50684,50.684000000000005,azure_2023_code::w5,0,0.000538875,False,fb9e09d8770aaf3731853510bd70a3c320d846dc2834fac85cc6fc6cf4957244,1,least_laxity_first,2,strongest-valid,a5b2c8094f206f62df4b957001187b263657f88dd0f476ca824a95749b30cef2,1199,1000,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w5::faithful::active_4::step50684,"[""b276f551301f102bb4e2ca2548a93447e12a8a0719a6b4f8ea45835398f5e9ed""]",5,azure_2023_code
0,0.75,active_sequence_capacity,active_4,1871,1.871,azure_2023_code::w7,0,0.00038325,False,887b2e8f7e4eb98b3e0ebdc4461cc5a5a30da28fa8917180498222ef041c355e,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,ff30d006c2d828e250481f988a834dc4860d984798d9d66a0ce50ad186887aa2,1599,1400,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w7::faithful::active_4::step1871,"[""d65d34946998328489ae6802c1f781524494f36026b730208ac03e9f3ceba282""]",7,azure_2023_code
0,0.75,active_sequence_capacity,active_4,2469,2.469,azure_2023_code::w7,0,0.00038475,False,d770308df261114f9000fb0cc9a00e03c3a2e344f4bcc0176b75435ddcec5a6e,1,"chunked_prefill_small,full_prefill,least_laxity_first",3,strongest-valid,01e3f81475a57d99669954fad5ce35529a4d5db77bd91250415fe1097a671b53,1599,1400,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w7::faithful::active_4::step2469,"[""b7524bd0170f6fde9cdf368a27f441d0c9c80aae60fd13c2ba939a781a4a411e""]",7,azure_2023_code
0,0.75,active_sequence_capacity,active_4,2471,2.471,azure_2023_code::w7,0,0.00015925,False,d99d9bcc04fd9a3b8e889eb29cad36420a5c4b919965ea29500cb63df23644dd,1,"chunked_prefill_small,full_prefill,least_laxity_first",3,strongest-valid,777bc3afb92676605a36892d3b99364137bf27cb47e128a362b9a32db7faed95,1599,1400,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w7::faithful::active_4::step2471,"[""b7524bd0170f6fde9cdf368a27f441d0c9c80aae60fd13c2ba939a781a4a411e""]",7,azure_2023_code
0,0.75,active_sequence_capacity,active_4,2474,2.474,azure_2023_code::w7,0,0.000186875,False,e57456dfadbbcdfc613612426c7f48e3fdd2a6db9bb70f511e9d7df52d811ff0,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,50379c8640d95491a919755293a9b743c92f1f95a6cbf993b86289570c2a8ce7,1599,1400,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w7::faithful::active_4::step2474,"[""b7524bd0170f6fde9cdf368a27f441d0c9c80aae60fd13c2ba939a781a4a411e""]",7,azure_2023_code
0,0.75,active_sequence_capacity,active_4,2665,2.665,azure_2023_code::w7,0,0.000384,False,0c812a52a5d8648db2d4c72c6b03be3e4095daa8929ce7ed1c27c3f677a2830f,1,"chunked_prefill_small,full_prefill,least_laxity_first",2,strongest-valid,867ca7ea0c2c5dd3587e0a9ec1b39e8ed9491cdaadd6e60273586bfdd1ef5430,1599,1400,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w7::faithful::active_4::step2665,"[""6cc9ab7cba80c93b63bd5112565b33b625d1b715af051c6a8f07c3c8a85dc3dc""]",7,azure_2023_code
