reserve,source_dataset,window_index,axis,condition_id,scenario_id,decision_states,disagreement_states,sim_step_calls_check,wall_s
0.82,azure_2023_code,35,active_sequence_capacity,active_4,azure_2023_code::w35::faithful::phase_b_v2::active_4,3996,3,3996,1.22
0.82,azure_2023_code,37,active_sequence_capacity,active_4,azure_2023_code::w37::faithful::phase_b_v2::active_4,5468,4,5468,1.579
0.82,azure_2023_code,39,active_sequence_capacity,active_4,azure_2023_code::w39::faithful::phase_b_v2::active_4,4102,5,4102,1.21
0.82,azure_2023_code,1,kv_capacity,kv_16000,azure_2023_code::w1::faithful::phase_b_v2::kv_16000,4247,8,4247,1.252
0.82,azure_2023_code,3,kv_capacity,kv_16000,azure_2023_code::w3::faithful::phase_b_v2::kv_16000,7174,5,7174,2.007
0.82,azure_2023_code,5,kv_capacity,kv_16000,azure_2023_code::w5::faithful::phase_b_v2::kv_16000,5109,0,5109,1.529
0.82,azure_2023_code,7,kv_capacity,kv_16000,azure_2023_code::w7::faithful::phase_b_v2::kv_16000,4521,0,4521,1.329
0.82,azure_2023_code,9,kv_capacity,kv_16000,azure_2023_code::w9::faithful::phase_b_v2::kv_16000,6669,0,6669,1.837
0.82,azure_2023_code,11,kv_capacity,kv_16000,azure_2023_code::w11::faithful::phase_b_v2::kv_16000,2724,205,2724,1.022
0.82,azure_2023_code,13,kv_capacity,kv_16000,azure_2023_code::w13::faithful::phase_b_v2::kv_16000,4245,37,4245,1.233
0.82,azure_2023_code,15,kv_capacity,kv_16000,azure_2023_code::w15::faithful::phase_b_v2::kv_16000,5048,1,5048,1.428
0.82,azure_2023_code,17,kv_capacity,kv_16000,azure_2023_code::w17::faithful::phase_b_v2::kv_16000,4705,1,4705,1.32
0.82,azure_2023_code,19,kv_capacity,kv_16000,azure_2023_code::w19::faithful::phase_b_v2::kv_16000,4624,4,4624,1.299
0.82,azure_2023_code,21,kv_capacity,kv_16000,azure_2023_code::w21::faithful::phase_b_v2::kv_16000,4330,25,4330,1.298
0.82,azure_2023_code,23,kv_capacity,kv_16000,azure_2023_code::w23::faithful::phase_b_v2::kv_16000,4877,3,4877,1.442
0.82,azure_2023_code,25,kv_capacity,kv_16000,azure_2023_code::w25::faithful::phase_b_v2::kv_16000,4974,0,4974,1.399
0.82,azure_2023_code,27,kv_capacity,kv_16000,azure_2023_code::w27::faithful::phase_b_v2::kv_16000,4066,0,4066,1.167
0.82,azure_2023_code,29,kv_capacity,kv_16000,azure_2023_code::w29::faithful::phase_b_v2::kv_16000,4974,1,4974,1.4
0.82,azure_2023_code,31,kv_capacity,kv_16000,azure_2023_code::w31::faithful::phase_b_v2::kv_16000,4569,75,4569,1.357
0.82,azure_2023_code,33,kv_capacity,kv_16000,azure_2023_code::w33::faithful::phase_b_v2::kv_16000,4087,2,4087,1.233
0.82,azure_2023_code,35,kv_capacity,kv_16000,azure_2023_code::w35::faithful::phase_b_v2::kv_16000,3992,15,3992,1.212
0.82,azure_2023_code,37,kv_capacity,kv_16000,azure_2023_code::w37::faithful::phase_b_v2::kv_16000,5462,49,5462,1.578
0.82,azure_2023_code,39,kv_capacity,kv_16000,azure_2023_code::w39::faithful::phase_b_v2::kv_16000,4098,0,4098,1.221
0.82,azure_2023_conv,1,active_sequence_capacity,active_4,azure_2023_conv::w1::faithful::phase_b_v2::active_4,33782,3,33782,10.346
0.82,azure_2023_conv,2,active_sequence_capacity,active_4,azure_2023_conv::w2::faithful::phase_b_v2::active_4,30803,2,30803,9.477
0.82,azure_2023_conv,3,active_sequence_capacity,active_4,azure_2023_conv::w3::faithful::phase_b_v2::active_4,26879,7,26879,8.502
0.82,azure_2023_conv,5,active_sequence_capacity,active_4,azure_2023_conv::w5::faithful::phase_b_v2::active_4,27041,5,27041,8.43
0.82,azure_2023_conv,6,active_sequence_capacity,active_4,azure_2023_conv::w6::faithful::phase_b_v2::active_4,29020,10,29020,9.366
0.82,azure_2023_conv,7,active_sequence_capacity,active_4,azure_2023_conv::w7::faithful::phase_b_v2::active_4,32750,2,32750,10.373
0.82,azure_2023_conv,9,active_sequence_capacity,active_4,azure_2023_conv::w9::faithful::phase_b_v2::active_4,33440,0,33440,10.261
0.82,azure_2023_conv,10,active_sequence_capacity,active_4,azure_2023_conv::w10::faithful::phase_b_v2::active_4,33479,4,33479,10.275
0.82,azure_2023_conv,11,active_sequence_capacity,active_4,azure_2023_conv::w11::faithful::phase_b_v2::active_4,29553,11,29553,9.05
0.82,azure_2023_conv,13,active_sequence_capacity,active_4,azure_2023_conv::w13::faithful::phase_b_v2::active_4,25282,1,25282,7.759
0.82,azure_2023_conv,14,active_sequence_capacity,active_4,azure_2023_conv::w14::faithful::phase_b_v2::active_4,28745,1,28745,8.666
0.82,azure_2023_conv,15,active_sequence_capacity,active_4,azure_2023_conv::w15::faithful::phase_b_v2::active_4,29368,3,29368,9.114
0.82,azure_2023_conv,17,active_sequence_capacity,active_4,azure_2023_conv::w17::faithful::phase_b_v2::active_4,26733,0,26733,8.088
0.82,azure_2023_conv,18,active_sequence_capacity,active_4,azure_2023_conv::w18::faithful::phase_b_v2::active_4,25939,2,25939,7.928
0.82,azure_2023_conv,19,active_sequence_capacity,active_4,azure_2023_conv::w19::faithful::phase_b_v2::active_4,27814,0,27814,8.355
0.82,azure_2023_conv,21,active_sequence_capacity,active_4,azure_2023_conv::w21::faithful::phase_b_v2::active_4,30758,3,30758,9.661
0.82,azure_2023_conv,22,active_sequence_capacity,active_4,azure_2023_conv::w22::faithful::phase_b_v2::active_4,34165,2,34165,10.399
0.82,azure_2023_conv,23,active_sequence_capacity,active_4,azure_2023_conv::w23::faithful::phase_b_v2::active_4,32093,5,32093,9.906
0.82,azure_2023_conv,25,active_sequence_capacity,active_4,azure_2023_conv::w25::faithful::phase_b_v2::active_4,26117,2,26117,8.213
0.82,azure_2023_conv,26,active_sequence_capacity,active_4,azure_2023_conv::w26::faithful::phase_b_v2::active_4,31081,1,31081,9.3
0.82,azure_2023_conv,1,kv_capacity,kv_16000,azure_2023_conv::w1::faithful::phase_b_v2::kv_16000,33674,0,33674,10.074
0.82,azure_2023_conv,2,kv_capacity,kv_16000,azure_2023_conv::w2::faithful::phase_b_v2::kv_16000,30636,0,30636,9.326
0.82,azure_2023_conv,3,kv_capacity,kv_16000,azure_2023_conv::w3::faithful::phase_b_v2::kv_16000,26422,0,26422,8.265
0.82,azure_2023_conv,5,kv_capacity,kv_16000,azure_2023_conv::w5::faithful::phase_b_v2::kv_16000,26856,0,26856,8.319
0.82,azure_2023_conv,6,kv_capacity,kv_16000,azure_2023_conv::w6::faithful::phase_b_v2::kv_16000,28732,0,28732,9.183
0.82,azure_2023_conv,7,kv_capacity,kv_16000,azure_2023_conv::w7::faithful::phase_b_v2::kv_16000,32428,0,32428,10.226
0.82,azure_2023_conv,9,kv_capacity,kv_16000,azure_2023_conv::w9::faithful::phase_b_v2::kv_16000,33440,0,33440,10.244
0.82,azure_2023_conv,10,kv_capacity,kv_16000,azure_2023_conv::w10::faithful::phase_b_v2::kv_16000,33479,0,33479,10.273
0.82,azure_2023_conv,11,kv_capacity,kv_16000,azure_2023_conv::w11::faithful::phase_b_v2::kv_16000,29443,0,29443,8.889
0.82,azure_2023_conv,13,kv_capacity,kv_16000,azure_2023_conv::w13::faithful::phase_b_v2::kv_16000,25282,0,25282,7.784
0.82,azure_2023_conv,14,kv_capacity,kv_16000,azure_2023_conv::w14::faithful::phase_b_v2::kv_16000,28745,0,28745,8.598
0.82,azure_2023_conv,15,kv_capacity,kv_16000,azure_2023_conv::w15::faithful::phase_b_v2::kv_16000,28984,0,28984,8.964
0.82,azure_2023_conv,17,kv_capacity,kv_16000,azure_2023_conv::w17::faithful::phase_b_v2::kv_16000,26730,0,26730,8.132
0.82,azure_2023_conv,18,kv_capacity,kv_16000,azure_2023_conv::w18::faithful::phase_b_v2::kv_16000,25766,93,25766,7.874
0.82,azure_2023_conv,19,kv_capacity,kv_16000,azure_2023_conv::w19::faithful::phase_b_v2::kv_16000,27774,0,27774,8.348
0.82,azure_2023_conv,21,kv_capacity,kv_16000,azure_2023_conv::w21::faithful::phase_b_v2::kv_16000,30750,0,30750,9.533
0.82,azure_2023_conv,22,kv_capacity,kv_16000,azure_2023_conv::w22::faithful::phase_b_v2::kv_16000,34091,0,34091,10.336
0.82,azure_2023_conv,23,kv_capacity,kv_16000,azure_2023_conv::w23::faithful::phase_b_v2::kv_16000,31953,0,31953,9.727
0.82,azure_2023_conv,25,kv_capacity,kv_16000,azure_2023_conv::w25::faithful::phase_b_v2::kv_16000,26052,0,26052,8.194
0.82,azure_2023_conv,26,kv_capacity,kv_16000,azure_2023_conv::w26::faithful::phase_b_v2::kv_16000,30939,0,30939,9.278
