active_cap_binding_fraction,active_sequence_capacity_binding_states,active_sequence_capacity_near_binding_states,arrival_load_ratio,arrival_multiplier,axis,axis_value,canonical_action_collapse_states,completed_request_count,completion_fraction,condition_id,disagreement_rate,disagreement_states,distinct_alternative_action_hashes,drain_steps,dropped_request_count,kv_cap_binding_fraction,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_pressure,max_active_sequences,max_active_sequences_param,max_kv_pressure,max_kv_tokens_param,max_kv_utilization,max_observed_kv_tokens,max_queue_length,mean_active_pressure,mean_active_sequences,mean_kv_pressure,mean_kv_utilization,mean_observed_kv_tokens,mean_queue_length,native_controls,near_kv_cap_fraction,no_policy_choice_states,num_total_requests_metric,policy_ranking_proxy_difference_states,pressure_order,pressure_regime_class,requests,sbs_arrival_normalized_weighted_goodput,sbs_decision_states,scenario_id,schema_version,simulation_end_condition,source_dataset,token_budget_binding_fraction,token_budget_binding_proxy_states,true_canonical_disagreement_states,unfinished_request_count,unique_alternative_canonical_action_hashes,validity_class,window_index,windows_with_disagreement
0.0,0,0,1.0,1.0,active_sequence_capacity,512,3,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.013671875,7,512,0.00200875,8000000,0.00200875,16070.000000000002,2,0.00261822424651372,1.3405308142150247,0.0003796548582995951,0.0003796548582995951,3037.2388663967604,0.0449842555105713,1,0.0,4446,200,3,0,VALID_UNCONSTRAINED,200,1.0,4446,PUBLIC_TRACE::azure_2023_code::w0::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,0,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,9,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.013671875,7,512,0.002230625,8000000,0.002230625,17845.0,3,0.0035665142831149926,1.8260553129548762,0.0004475774502668608,0.0004475774502668608,3580.6196021348865,0.048520135856380396,1,0.0,4122,200,9,0,VALID_UNCONSTRAINED,200,1.0,4122,PUBLIC_TRACE::azure_2023_code::w2::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,2,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,6,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.0078125,4,512,0.002165625,8000000,0.002165625,17325.0,2,0.0021878436812637473,1.1201759648070386,0.0003171630673865227,0.0003171630673865227,2537.3045390921816,0.03999200159968006,1,0.0,5001,200,6,0,VALID_UNCONSTRAINED,200,1.0,5001,PUBLIC_TRACE::azure_2023_code::w4::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,4,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,7,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.013671875,7,512,0.001768,8000000,0.001768,14144.0,3,0.003024012969332187,1.5482946402980797,0.0003174703711665234,0.0003174703711665234,2539.762969332187,0.05732301519059903,1,0.0,3489,200,7,0,VALID_UNCONSTRAINED,200,1.0,3489,PUBLIC_TRACE::azure_2023_code::w6::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,6,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,7,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.01171875,6,512,0.00161,8000000,0.00161,12880.0,3,0.00258739574535473,1.3247466216216217,0.0002636114336993243,0.0002636114336993243,2108.8914695945946,0.028153153153153154,1,0.0,7104,200,7,0,VALID_UNCONSTRAINED,200,1.0,7104,PUBLIC_TRACE::azure_2023_code::w8::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,8,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,12,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.015625,8,512,0.002275625,8000000,0.002275625,18205.0,3,0.0034966703427214115,1.7902952154733627,0.00041228881065490325,0.00041228881065490325,3298.310485239226,0.0678656260604004,1,0.0,2947,200,12,0,VALID_UNCONSTRAINED,200,1.0,2947,PUBLIC_TRACE::azure_2023_code::w10::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,10,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,11,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.013671875,7,512,0.001790375,8000000,0.001790375,14323.0,3,0.002555838012172124,1.3085890622321275,0.00036679390965198007,0.00036679390965198007,2934.3512772158406,0.0342876735813475,1,0.0,5833,200,11,0,VALID_UNCONSTRAINED,200,1.0,5833,PUBLIC_TRACE::azure_2023_code::w12::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,12,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,9,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.017578125,9,512,0.0021925,8000000,0.0021925,17540.0,3,0.0026362255366161615,1.3497474747474747,0.000422088489057239,0.000422088489057239,3376.707912457912,0.04208754208754209,1,0.0,4752,200,9,0,VALID_UNCONSTRAINED,200,1.0,4752,PUBLIC_TRACE::azure_2023_code::w14::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,14,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,15,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.01171875,6,512,0.001458625,8000000,0.001458625,11669.0,3,0.002883406019290307,1.4763038818766372,0.0003642223148368659,0.0003642223148368659,2913.7785186949272,0.04763038818766373,1,0.0,4199,200,15,0,VALID_UNCONSTRAINED,200,1.0,4199,PUBLIC_TRACE::azure_2023_code::w16::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,16,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,9,200,1.0,active_512,0.0,0,0,250000,0,0.0,0,0,0.013671875,7,512,0.001864,8000000,0.001864,14912.0,4,0.0026522657310451814,1.357960054295133,0.00038029462381229396,0.00038029462381229396,3042.356990498352,0.03878223773511732,1,0.0,5157,200,9,0,VALID_UNCONSTRAINED,200,1.0,5157,PUBLIC_TRACE::azure_2023_code::w18::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,0.0,0,0,0,0,VALID_UNCONSTRAINED,18,0
