scenario_id,family,template_name,generator_version,seed,fraction_impossible,generator_family,heterogeneity,inversion_fraction,max_active_sequences,n_impossible,n_normal,n_short,offset,overload_factor,rank_agreement_kendall_tau,rank_agreement_spearman,ratio,role,sobol_index,sobol_scramble_seed,target_utilization,total_required_service_s,window_s
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260809,,sobol_family_b_prediction_sensitive,moderate,0.729613,,,,,,,-0.8672768878718535,-0.9613460095071303,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260810,,sobol_family_b_prediction_sensitive,moderate,0.729613,,,,,,,-0.8671248568155785,-0.9620559292822597,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260811,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260811,,sobol_family_b_prediction_sensitive,moderate,0.729613,,,,,,,-0.8665145464917284,-0.9622258665258357,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260812,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260812,,sobol_family_b_prediction_sensitive,moderate,0.729613,,,,,,,-0.8674285714285714,-0.9621692239270622,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.strong.util0.607073.inv0.729613.s20260809,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260809,,sobol_family_b_prediction_sensitive,strong,0.729613,,,,,,,-0.8651558073654391,-0.9622085753188651,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.strong.util0.607073.inv0.729613.s20260810,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260810,,sobol_family_b_prediction_sensitive,strong,0.729613,,,,,,,-0.8653084323712507,-0.9622374124708235,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.strong.util0.607073.inv0.729613.s20260811,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260811,,sobol_family_b_prediction_sensitive,strong,0.729613,,,,,,,-0.8653084323712507,-0.9622374124708235,,stress,0,20260810,0.607073,,
sobolB.idx0.case2b_prediction_inversion_boundary.stress.strong.util0.607073.inv0.729613.s20260812,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260812,,sobol_family_b_prediction_sensitive,strong,0.729613,,,,,,,-0.8650028360748724,-0.9621797365642196,,stress,0,20260810,0.607073,,
sobolB.idx1.case2b_prediction_inversion_boundary.stress.moderate.util1.0411.inv0.418636.s20260809,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260809,,sobol_family_b_prediction_sensitive,moderate,0.418636,,,,,,,-0.3657142857142857,-0.6362827676312788,,stress,1,20260810,1.0411,,
sobolB.idx1.case2b_prediction_inversion_boundary.stress.moderate.util1.0411.inv0.418636.s20260810,prediction_inversion_boundary,prediction_inversion_boundary_grid,sobol_pilot_v1,20260810,,sobol_family_b_prediction_sensitive,moderate,0.418636,,,,,,,-0.36498855835240274,-0.634333129482404,,stress,1,20260810,1.0411,,
