all_alternatives_harmful,all_alternatives_zero,axis,beneficial_opportunity,condition_id,max_a_lat,mean_ref_latency,mixed_beneficial_and_harmful,num_non_sbs_branches,oracle_headroom,p95_ref_latency,source_dataset,state_id,window_index
0,0,active_sequence_capacity,1,active_4,1.4084507042252947e-05,0.046027933174455735,0,1,1.4084507042252947e-05,0.1251706295967102,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1144,11
1,0,active_sequence_capacity,0,active_4,-7.407407407407363e-06,0.0463787423169172,0,1,0.0,0.1324115604400635,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1243,11
1,0,active_sequence_capacity,0,active_4,-2.3255813953487747e-05,0.04646454617404205,0,1,0.0,0.12056254081726074,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1344,11
1,0,active_sequence_capacity,0,active_4,-4.098360655738209e-05,0.04747556706725581,0,1,0.0,0.1251706295967102,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1446,11
0,0,active_sequence_capacity,1,active_4,3.305785123966509e-05,0.04764891886120007,0,1,3.305785123966509e-05,0.12582892799377454,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1455,11
0,0,active_sequence_capacity,1,active_4,4.1666666666675956e-05,0.04789382664362596,0,1,4.1666666666675956e-05,0.1269260334014893,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1456,11
0,0,active_sequence_capacity,1,active_4,1.0752688172056823e-05,0.0521151384128038,0,1,1.0752688172056823e-05,0.1333477771759032,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1912,11
0,0,active_sequence_capacity,1,active_4,0.00026086956521737675,0.05214865012790855,0,1,0.00026086956521737675,0.13383763332366957,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1919,11
0,0,active_sequence_capacity,1,active_4,3.333333333332966e-05,0.05268036539289695,0,1,3.333333333332966e-05,0.1378970874786377,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1942,11
0,0,active_sequence_capacity,1,active_4,0.00016853932584270231,0.052926224269224095,1,3,0.00016853932584270231,0.13899419288635248,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1952,11
0,0,active_sequence_capacity,0,active_4,0.0,0.05305164575576791,0,2,0.0,0.14009129829406725,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1955,11
1,0,active_sequence_capacity,0,active_4,-1.1494252873577027e-05,0.05335978961813048,0,2,0.0,0.14118840370178234,azure_2023_code,fresh_sensitivity::azure_2023_code::w11::faithful::phase_b_v2::active_4::step1967,11
