scenario_id,source,source_group,builder,window_id,base_scenario_id,source_file,source_file_sha256,load_factor,selection_basis
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w00_lambda1,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w00,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,1.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w00_lambda2,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w00,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,2.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w01_lambda1,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w01,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,1.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w01_lambda2,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w01,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,2.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w02_lambda1,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w02,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,1.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w02_lambda2,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w02,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,2.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w03_lambda1,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w03,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,1.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w03_lambda2,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w03,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,2.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w04_lambda1,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w04,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,1.0,all staged BurstGPT windows x predeclared load factors
sbsfresh_oodexp_burstgpt_burstgpt_stage0_w04_lambda2,burstgpt_v2_lssp_cache,burstgpt_v2,lssp_stage0_window_cache_controlled_annotation_v1,burstgpt_stage0_w04,,BurstGPT_without_fails_2.csv,56193aa9b2bb26128ded43d2d29a960df6bf5af062bcfc9b005f3fcaa4e6e501,2.0,all staged BurstGPT windows x predeclared load factors
