scenario_index,scenario_id,family,group_key,E6,candidate_reward,MG,epsilon_unique_win,best_original_parent,candidate_minus_best_parent
0,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.00,0.75,0.8333333333333334,0.08333333333333337,True,weighted_fair_share,0.08333333333333337
1,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft.s20260820,FAMILY_B_PREFILL_DECODE_V2,FAMILY_B_PREFILL_DECODE_V2::pd2.hog12.late12.slohog_ttft,0.7916666666666666,0.6666666666666666,0.0,False,estimated_service_time_first;full_prefill;kv_constrained_online;least_laxity_first;weighted_fair_share,-0.125
2,FAMILY_C_KV_PRESSURE_V2::kvp2.bulk10.phaseearly.tightloose.s20260910,FAMILY_C_KV_PRESSURE_V2,FAMILY_C_KV_PRESSURE_V2::kvp2.bulk10.phaseearly.tightloose,1.0,1.0,0.0,False,chunked_prefill_small;estimated_service_time_first;full_prefill;kv_constrained_online;least_laxity_first;weighted_fair_share,0.0
3,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.00,0.975,0.9,0.0,False,kv_constrained_online,-0.07499999999999996
4,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.30,0.7696969696969697,0.7848484848484848,0.015151515151515138,True,weighted_fair_share,0.015151515151515138
5,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favshort.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favshort.noise0.30,0.9787878787878788,0.9318181818181818,0.0,False,estimated_service_time_first;weighted_fair_share,-0.046969696969696995
6,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew1.0000.favlong.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew1.0000.favlong.noise0.30,0.7333333333333333,0.7583333333333333,0.025000000000000022,True,estimated_service_time_first;kv_constrained_online,0.025000000000000022
7,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew1.0000.favshort.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew1.0000.favshort.noise0.30,0.8083333333333333,0.7666666666666667,0.0,False,estimated_service_time_first,-0.04166666666666663
8,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew10.0000.favlong.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew10.0000.favlong.noise0.00,0.44393939393939397,0.556060606060606,0.11212121212121207,True,weighted_fair_share,0.11212121212121207
9,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew10.0000.favshort.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.5000.skew10.0000.favshort.noise0.00,0.9515151515151515,0.9575757575757575,0.006060606060605989,True,estimated_service_time_first,0.006060606060605989
