budget,budget_saturation_fraction,chunk,classification,decode_stalled_steps,max_waiting_queue,n_requests,param_arrival_gap,param_budget,param_chunk,param_hog_prompt,param_hog_sizes,param_n_hogs,param_n_runners,param_runner_output,param_shape,param_size_disparity,param_staggered,prefill_stalled_steps,primary_objective_best_policy,primary_objective_classification,primary_objective_max_min_spread,shape,window_idx
1024,0.1867,512,CONTENTION_VISIBLE,0,3,3,0.0,1024,512,,"[7668, 2000, 35393]",3,0,0,admission_reorder,17.7,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,15
300,0.9636,512,SATURATED,0,2,2,0.0,300,512,,"[11950, 4000]",2,0,0,admission_reorder,2.99,,39,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,16
1024,0.193,512,CONTENTION_VISIBLE,0,3,6,0.001,1024,512,,"[3644, 28510, 2000]",3,3,10,admission_reorder,14.26,,11,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,17
1024,0.8,512,SATURATED,0,3,3,0.0,1024,512,,"[6329, 5958, 1000]",3,0,0,admission_reorder,6.33,,11,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,18
2048,0.0,512,UNDERLOADED,0,2,2,0.0,2048,512,,"[8778, 500]",2,0,0,admission_reorder,17.56,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,19
400,0.9429,512,SATURATED,0,2,2,0.0,400,512,,"[12565, 1000]",2,0,0,admission_reorder,12.57,,31,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,20
512,0.6525,512,SATURATED,0,3,5,0.001,512,512,,"[37619, 2000]",2,3,40,admission_reorder,18.81,,77,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,21
1024,0.2264,512,CONTENTION_VISIBLE,0,5,9,0.001,1024,512,,"[1000, 1734, 5201, 4432]",4,5,40,admission_reorder,5.2,,12,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,22
1024,0.3651,512,CONTENTION_VISIBLE,0,3,3,0.0,1024,512,,"[2000, 31575, 10246]",3,0,0,admission_reorder,15.79,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,23
800,0.6434,512,SATURATED,0,7,11,0.005,800,512,,"[4000, 22714, 67410, 75421]",4,7,10,admission_reorder,18.86,,157,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,24
512,0.9818,512,SATURATED,0,5,9,0.002,512,512,,"[60708, 57922, 42803, 4000]",4,5,5,admission_reorder,15.18,,323,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,25
512,0.6552,512,SATURATED,0,5,8,0.005,512,512,,"[4070, 5035, 500]",3,5,10,admission_reorder,10.07,,18,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,26
800,0.0845,512,UNDERLOADED,0,2,2,0.0,800,512,,"[35452, 2000]",2,0,0,admission_reorder,17.73,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,27
1024,0.7895,512,SATURATED,0,4,6,0.001,1024,512,,"[9421, 4000, 34065, 21367]",4,2,10,admission_reorder,8.52,,60,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,28
1024,0.8571,512,SATURATED,0,3,3,0.0,1024,512,,"[2000, 6642, 4331]",3,0,0,admission_reorder,3.32,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,29
2048,0.0,512,UNDERLOADED,0,4,4,0.0,2048,512,,"[3347, 2397, 500, 902]",4,0,0,admission_reorder,6.7,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,30
300,0.9875,512,SATURATED,0,4,4,0.0,300,512,,"[28903, 13820, 2000, 2842]",4,0,0,admission_reorder,14.45,,149,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,31
600,0.8372,512,SATURATED,0,4,4,0.0,600,512,,"[15525, 23680, 2000, 8138]",4,0,0,admission_reorder,11.84,,53,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,32
400,0.6379,512,SATURATED,0,7,11,0.001,400,512,,"[5963, 3709, 4249, 1000]",4,7,20,admission_reorder,5.96,,37,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,33
800,0.7857,512,SATURATED,0,5,9,0.001,800,512,,"[9434, 7225, 500, 1696]",4,5,5,admission_reorder,18.87,,22,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,34
300,0.96,512,SATURATED,0,2,2,0.0,300,512,,"[12453, 2000]",2,0,0,admission_reorder,6.23,,41,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,35
300,0.9524,512,SATURATED,0,4,4,0.0,300,512,,"[5293, 2386, 1000, 3531]",4,0,0,admission_reorder,5.29,,28,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,36
1536,0.0,512,UNDERLOADED,0,7,10,0.002,1536,512,,"[2794, 500, 7672]",3,7,5,admission_reorder,15.34,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,37
512,0.9512,512,SATURATED,0,2,2,0.0,512,512,,"[19399, 1000]",2,0,0,admission_reorder,19.4,,37,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,38
600,0.6389,512,SATURATED,0,3,5,0.002,600,512,,"[23245, 35362, 2000]",3,2,10,admission_reorder,17.68,,69,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,39
512,0.9692,512,SATURATED,0,2,2,0.0,512,512,,"[2000, 30611]",2,0,0,admission_reorder,15.31,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,40
1536,0.3333,512,CONTENTION_VISIBLE,0,4,4,0.0,1536,512,,"[7460, 9809, 3397, 500]",4,0,0,admission_reorder,19.62,,6,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,41
400,0.9759,512,SATURATED,0,2,2,0.0,400,512,,"[2000, 30757]",2,0,0,admission_reorder,15.38,,5,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,42
800,0.1154,512,CONTENTION_VISIBLE,0,8,11,0.005,800,512,,"[1439, 500, 1965]",3,8,20,admission_reorder,3.93,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,43
2048,0.0,512,UNDERLOADED,0,5,7,0.001,2048,512,,"[1000, 15084]",2,5,40,admission_reorder,15.08,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,44
800,0.5625,512,SATURATED,0,4,4,0.0,800,512,,"[32280, 12877, 2000, 27643]",4,0,0,admission_reorder,16.14,,51,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,45
512,0.6333,512,SATURATED,0,3,5,0.002,512,512,,"[7069, 2266, 500]",3,2,10,admission_reorder,14.14,,19,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,46
300,0.8,512,SATURATED,0,2,2,0.0,300,512,,"[2057, 500]",2,0,0,admission_reorder,4.11,,6,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,47
512,0.8182,512,SATURATED,0,2,2,0.0,512,512,,"[4028, 1000]",2,0,0,admission_reorder,4.03,,7,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,48
2048,0.125,512,CONTENTION_VISIBLE,0,4,6,0.002,2048,512,,"[3593, 2000, 3292, 4099]",4,2,20,admission_reorder,2.05,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,49
600,0.7327,512,SATURATED,0,4,4,0.0,600,512,,"[2000, 7129, 30310, 17959]",4,0,0,admission_reorder,15.16,,17,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,50
800,0.0741,512,UNDERLOADED,0,2,2,0.0,800,512,,"[1000, 12767]",2,0,0,admission_reorder,12.77,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,51
1536,0.0,512,UNDERLOADED,0,7,9,0.001,1536,512,,"[2000, 29002]",2,7,20,admission_reorder,14.5,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,52
1536,0.0,512,UNDERLOADED,0,5,7,0.002,1536,512,,"[2000, 8638]",2,5,20,admission_reorder,4.32,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,53
1536,0.1429,512,UNDERLOADED,0,3,3,0.0,1536,512,,"[19170, 24324, 4000]",3,0,0,admission_reorder,6.08,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,54
512,0.8571,512,SATURATED,0,3,3,0.0,512,512,,"[500, 1422, 4549]",3,0,0,admission_reorder,9.1,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,55
1536,0.0,512,UNDERLOADED,0,8,10,0.001,1536,512,,"[26649, 4000]",2,8,40,admission_reorder,6.66,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,56
300,0.9043,512,SATURATED,0,2,4,0.001,300,512,,"[27205, 4000]",2,2,10,admission_reorder,6.8,,104,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,57
1024,0.1,512,CONTENTION_VISIBLE,0,3,6,0.001,1024,512,,"[926, 9509, 500]",3,3,10,admission_reorder,19.02,,2,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,58
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[3598, 12035, 1000]",3,0,0,admission_reorder,12.04,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,59
512,0.9259,512,SATURATED,0,4,4,0.0,512,512,,"[3408, 3224, 4276, 2000]",4,0,0,admission_reorder,2.14,,21,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,60
400,0.9167,512,SATURATED,0,2,2,0.0,400,512,,"[500, 8474]",2,0,0,admission_reorder,16.95,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,61
400,0.8962,512,SATURATED,0,6,10,0.002,400,512,,"[4000, 8887, 9017, 16255]",4,6,10,admission_reorder,4.06,,95,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,62
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[30002, 4000, 65335]",3,0,0,admission_reorder,16.33,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,63
800,0.5,512,SATURATED,0,3,3,0.0,800,512,,"[500, 4321, 5980]",3,0,0,admission_reorder,11.96,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,64
2048,0.0,512,UNDERLOADED,0,2,2,0.0,2048,512,,"[2000, 33337]",2,0,0,admission_reorder,16.67,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,65
1024,0.8,512,SATURATED,0,4,4,0.0,1024,512,,"[6432, 18700, 18528, 2000]",4,0,0,admission_reorder,9.35,,36,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,66
300,0.3788,512,CONTENTION_VISIBLE,0,4,7,0.001,300,512,,"[3575, 3507, 500]",3,4,40,admission_reorder,7.15,,25,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,67
400,0.9444,512,SATURATED,0,4,4,0.0,400,512,,"[3917, 8627, 500, 748]",4,0,0,admission_reorder,17.25,,32,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,68
400,0.5926,512,SATURATED,0,4,7,0.001,400,512,,"[1000, 2644, 3072]",3,4,10,admission_reorder,3.07,,16,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,69
600,0.7097,512,SATURATED,0,2,2,0.0,600,512,,"[15353, 2000]",2,0,0,admission_reorder,7.68,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,70
400,0.5714,512,SATURATED,0,3,5,0.002,400,512,,"[2753, 500]",2,3,5,admission_reorder,5.51,,8,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,71
400,0.9048,512,SATURATED,0,2,2,0.0,400,512,,"[7315, 500]",2,0,0,admission_reorder,14.63,,18,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,72
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[9569, 1000, 8302]",3,0,0,admission_reorder,9.57,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,73
1024,0.6239,512,SATURATED,0,3,6,0.001,1024,512,,"[4000, 37617, 54936]",3,3,10,admission_reorder,13.73,,73,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,74
512,0.7778,512,SATURATED,0,2,2,0.0,512,512,,"[3174, 500]",2,0,0,admission_reorder,6.35,,6,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,75
1536,0.0,512,UNDERLOADED,0,7,9,0.001,1536,512,,"[2000, 32946]",2,7,40,admission_reorder,16.47,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,76
1536,0.0423,512,UNDERLOADED,0,7,10,0.005,1536,512,,"[35720, 2000, 10988]",3,7,10,admission_reorder,17.86,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,77
800,0.45,512,CONTENTION_VISIBLE,0,3,3,0.0,800,512,,"[500, 9105, 2366]",3,0,0,admission_reorder,18.21,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,78
400,0.506,512,SATURATED,0,8,11,0.001,400,512,,"[1000, 13250, 2415]",3,8,40,admission_reorder,13.25,,42,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,79
300,0.9866,512,SATURATED,0,3,3,0.0,300,512,,"[19047, 21080, 4000]",3,0,0,admission_reorder,5.27,,133,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,80
1536,0.0769,512,UNDERLOADED,0,6,9,0.005,1536,512,,"[4850, 5935, 1000]",3,6,5,admission_reorder,5.94,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,81
600,0.9091,512,SATURATED,0,4,4,0.0,600,512,,"[6157, 500, 4590, 815]",4,0,0,admission_reorder,12.32,,12,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,82
512,0.9873,512,SATURATED,0,2,2,0.0,512,512,,"[75380, 4000]",2,0,0,admission_reorder,18.85,,147,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,83
1024,0.3125,512,CONTENTION_VISIBLE,0,4,7,0.001,1024,512,,"[2843, 500, 3007]",3,4,10,admission_reorder,6.02,,4,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,84
1024,0.9595,512,SATURATED,0,3,3,0.0,1024,512,,"[37350, 2000, 34567]",3,0,0,admission_reorder,18.68,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,85
512,0.7143,512,SATURATED,0,4,7,0.001,512,512,,"[2432, 2234, 1000, 2265]",4,3,5,admission_reorder,2.43,,15,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,86
1024,0.125,512,UNDERLOADED,0,3,3,0.0,1024,512,,"[500, 7621, 782]",3,0,0,admission_reorder,15.24,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,87
600,0.861,512,SATURATED,0,7,10,0.001,600,512,,"[38722, 42476, 44974, 4000]",4,6,20,admission_reorder,11.24,,192,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,88
300,0.5638,512,SATURATED,0,6,8,0.005,300,512,,"[14839, 1000]",2,6,40,admission_reorder,14.84,,53,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,89
400,0.8205,512,SATURATED,0,4,7,0.002,400,512,,"[4000, 21017, 8532, 4839]",4,3,20,admission_reorder,5.25,,96,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,90
2048,0.1667,512,UNDERLOADED,0,4,4,0.0,2048,512,,"[1244, 1000, 2440, 2277]",4,0,0,admission_reorder,2.44,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,91
1536,0.8608,512,SATURATED,0,4,6,0.001,1536,512,,"[2000, 39571, 35984, 33009]",4,2,5,admission_reorder,19.79,,68,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,92
2048,0.0,512,UNDERLOADED,0,4,6,0.001,2048,512,,"[55766, 64530, 4000]",3,3,10,admission_reorder,16.13,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,93
1536,0.1579,512,UNDERLOADED,0,3,3,0.0,1536,512,,"[8736, 2000, 6432]",3,0,0,admission_reorder,4.37,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,94
1536,0.6111,512,SATURATED,0,4,4,0.0,1536,512,,"[5813, 6046, 2000, 6226]",4,0,0,admission_reorder,3.11,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,95
600,0.7407,512,SATURATED,0,8,11,0.001,600,512,,"[21622, 11575, 4000]",3,8,20,admission_reorder,5.41,,59,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,96
1024,0.36,512,CONTENTION_VISIBLE,0,3,3,0.0,1024,512,,"[2000, 37602, 12290]",3,0,0,admission_reorder,18.8,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,97
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[2000, 21893, 20975]",3,0,0,admission_reorder,10.95,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,98
512,0.9714,512,SATURATED,0,2,2,0.0,512,512,,"[32838, 2000]",2,0,0,admission_reorder,16.42,,64,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,99
400,0.7588,512,SATURATED,0,7,11,0.005,400,512,,"[11746, 17854, 2000, 20092]",4,7,40,admission_reorder,10.05,,129,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,100
600,0.7097,512,SATURATED,0,2,2,0.0,600,512,,"[15194, 2000]",2,0,0,admission_reorder,7.6,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,101
300,0.8084,512,SATURATED,0,6,10,0.001,300,512,,"[25364, 8618, 2000, 15881]",4,6,40,admission_reorder,12.68,,173,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,102
800,0.0952,512,UNDERLOADED,0,6,8,0.002,800,512,,"[1000, 9530]",2,6,10,admission_reorder,9.53,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,103
800,0.1538,512,UNDERLOADED,0,2,2,0.0,800,512,,"[1000, 5293]",2,0,0,admission_reorder,5.29,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,104
600,0.7297,512,SATURATED,0,4,8,0.001,600,512,,"[35462, 25496, 2000, 10606]",4,4,40,admission_reorder,17.73,,107,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,105
800,0.0526,512,UNDERLOADED,0,2,2,0.0,800,512,,"[8741, 500]",2,0,0,admission_reorder,17.48,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,106
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[2224, 1000, 10864]",3,0,0,admission_reorder,10.86,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,107
1024,0.3971,512,CONTENTION_VISIBLE,0,4,6,0.002,1024,512,,"[8580, 12303, 22526, 2000]",4,2,40,admission_reorder,11.26,,27,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,108
400,0.9259,512,SATURATED,0,3,3,0.0,400,512,,"[3807, 4265, 2000]",3,0,0,admission_reorder,2.13,,20,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,109
300,0.8675,512,SATURATED,0,6,10,0.002,300,512,,"[3253, 16095, 1000, 1428]",4,6,10,admission_reorder,16.1,,72,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,110
1536,0.0,512,UNDERLOADED,0,2,2,0.0,1536,512,,"[16037, 1000]",2,0,0,admission_reorder,16.04,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,111
1024,0.58,512,SATURATED,0,3,3,0.0,1024,512,,"[15249, 4000, 20968]",3,0,0,admission_reorder,5.24,,7,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,112
2048,0.1154,512,UNDERLOADED,0,4,8,0.005,2048,512,,"[6692, 5558, 2000, 7624]",4,4,20,admission_reorder,3.81,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,113
400,0.9829,512,SATURATED,0,4,4,0.0,400,512,,"[2705, 17490, 23968, 2000]",4,0,0,admission_reorder,11.98,,110,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,114
512,0.9661,512,SATURATED,0,3,3,0.0,512,512,,"[1000, 14989, 13309]",3,0,0,admission_reorder,14.99,,31,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,115
1536,0.0256,512,UNDERLOADED,0,3,3,0.0,1536,512,,"[17600, 19451, 1000]",3,0,0,admission_reorder,19.45,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,116
512,0.8125,512,SATURATED,0,5,9,0.001,512,512,,"[4231, 2867, 2000, 4169]",4,5,5,admission_reorder,2.12,,26,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,117
